Entrez ID	Symbol	Name	Gene Family	Type	RNA-Seq Correlation	RNA-Seq Correlation Self-Rank
9725	TMEM63A	transmembrane protein 63A		best inferred	0.70	0.00
54106	TLR9	toll like receptor 9	CD molecules, Toll like receptors	not inferred		
55437	STRADB	STE20-related kinase adaptor beta		not inferred		
9728	SECISBP2L	SECIS binding protein 2 like		best inferred	0.83	0.00
9729	KIAA0408	KIAA0408		inferred	0.10	0.35
150280	HORMAD2	HORMA domain containing 2		not inferred		
9741	LAPTM4A	lysosomal protein transmembrane 4 alpha		best inferred	0.81	0.00
644353	ZCCHC18	zinc finger CCHC-type containing 18	Zinc fingers CCHC-type, Paraneoplastic Ma antigens	not inferred		
645682	POU5F1P4	POU class 5 homeobox 1 pseudogene 4		inferred	0.17	0.21
9744	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	ArfGAPs, Ankyrin repeat domain containing, Pleckstrin homology domain containing, BAR-PH domain containing	best inferred	0.57	0.00
9745	ZNF536	zinc finger protein 536	Zinc fingers C2H2-type	best inferred	0.61	0.00
441869	ANKRD65	ankyrin repeat domain 65	Ankyrin repeat domain containing	not inferred		
8411	EEA1	early endosome antigen 1	Zinc fingers FYVE-type	best inferred	0.62	0.00
9742	IFT140	intraflagellar transport 140	WD repeat domain containing, Intraflagellar transport proteins	best inferred	0.60	0.00
8412	BCAR3	breast cancer anti-estrogen resistance 3	SH2 domain containing	best inferred	0.63	0.00
9743	ARHGAP32	Rho GTPase activating protein 32	Rho GTPase activating proteins	best inferred	0.75	0.00
392376	OR13C2	olfactory receptor family 13 subfamily C member 2	Olfactory receptors, family 13	not inferred		
440533	PSG8	pregnancy specific beta-1-glycoprotein 8	V-set domain containing, Pregnancy specific glycoproteins	not inferred		
441864	TARM1	T-cell-interacting, activating receptor on myeloid cells 1	Immunoglobulin like domain containing	not inferred		
149297	FAM78B	family with sequence similarity 78 member B		not inferred		
102725009	LOC102725009	putative inactive beta-glucuronidase-like protein SMA3		not inferred		
111	ADCY5	adenylate cyclase 5	Adenylate cyclases	not inferred		
105373381	LOC105373381	extracellular matrix protein 2		not inferred		
112	ADCY6	adenylate cyclase 6	Adenylate cyclases	best inferred	0.85	0.00
113	ADCY7	adenylate cyclase 7	Adenylate cyclases	best inferred	0.78	0.00
114	ADCY8	adenylate cyclase 8	Adenylate cyclases	best inferred	0.52	0.00
115	ADCY9	adenylate cyclase 9	Adenylate cyclases	best inferred	0.87	0.00
116	ADCYAP1	adenylate cyclase activating polypeptide 1	Endogenous ligands	inferred	0.30	0.07
117	ADCYAP1R1	ADCYAP receptor type I	Vasoactive intestinal peptide receptor family	inferred	0.27	0.13
102725001	LOC102725001	putative ankyrin repeat domain-containing protein 20A5		not inferred		
118	ADD1	adducin 1		best inferred	0.87	0.00
8406	SRPX	sushi repeat containing protein, X-linked	Sushi domain containing	best inferred	0.84	0.00
9737	GPRASP1	G protein-coupled receptor associated sorting protein 1	Armadillo repeat containing	best inferred	0.94	0.00
119	ADD2	adducin 2		best inferred	0.53	0.01
8407	TAGLN2	transgelin 2		best inferred	0.89	0.00
9738	CCP110	centriolar coiled-coil protein 110		landmark		
8404	SPARCL1	SPARC like 1	SPARC family	best inferred	0.73	0.00
9735	KNTC1	kinetochore associated 1		best inferred	0.76	0.00
150275	CCDC117	coiled-coil domain containing 117		not inferred		
8405	SPOP	speckle type BTB/POZ protein	BTB domain containing	best inferred	0.69	0.00
9736	USP34	ubiquitin specific peptidase 34	Ubiquitin specific peptidases	best inferred	0.64	0.00
150274	HSCB	HscB mitochondrial iron-sulfur cluster cochaperone	DNAJ (HSP40) heat shock proteins	not inferred		
8408	ULK1	unc-51 like autophagy activating kinase 1	Autophagy related	best inferred	0.84	0.00
9739	SETD1A	SET domain containing 1A	Lysine methyltransferases, RNA binding motif containing, SET domain containing	best inferred	0.66	0.00
8409	UXT	ubiquitously expressed prefoldin like chaperone	Prefoldin subunits	best inferred	0.79	0.00
8420	SNHG3	small nucleolar RNA host gene 3		best inferred	0.62	0.00
9751	SNPH	syntaphilin		best inferred	0.82	0.00
9752	PCDHA9	protocadherin alpha 9		best inferred	0.45	0.02
9750	FAM65B	family with sequence similarity 65 member B		best inferred	0.66	0.00
150290	DUSP18	dual specificity phosphatase 18	Atypical dual specificity phosphatases	not inferred		
8424	BBOX1	gamma-butyrobetaine hydroxylase 1		best inferred	0.64	0.00
9755	TBKBP1	TBK1 binding protein 1		best inferred	0.63	0.00
8425	LTBP4	latent transforming growth factor beta binding protein 4	Latent transforming growth factor beta binding proteins	best inferred	0.93	0.00
643037	C11orf97	chromosome 11 open reading frame 97		not inferred		
9753	ZSCAN12	zinc finger and SCAN domain containing 12	Zinc fingers C2H2-type, SCAN domain containing	best inferred	0.44	0.02
163589	TDRD5	tudor domain containing 5	Tudor domain containing	not inferred		
9754	STARD8	StAR related lipid transfer domain containing 8	Rho GTPase activating proteins, StAR related lipid transfer domain containing	best inferred	0.76	0.00
391059	FRRS1	ferric chelate reductase 1		not inferred		
120	ADD3	adducin 3		best inferred	0.81	0.00
163590	TOR1AIP2	torsin 1A interacting protein 2		not inferred		
123	PLIN2	perilipin 2	Perilipins	best inferred	0.83	0.00
124	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	Alcohol dehydrogenases	best inferred	0.48	0.03
125	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	Alcohol dehydrogenases	best inferred	0.90	0.00
126	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	Alcohol dehydrogenases	best inferred	0.69	0.00
127	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	Alcohol dehydrogenases	not inferred		
128	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	Alcohol dehydrogenases	landmark		
8417	STX7	syntaxin 7	Syntaxins	best inferred	0.79	0.00
9748	SLK	STE20 like kinase		best inferred	0.83	0.00
105373377	LOC105373377	paraneoplastic antigen-like protein 6B		not inferred		
8418	CMAHP	cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene		best inferred	0.73	0.00
9749	PHACTR2	phosphatase and actin regulator 2	Phosphatase and actin regulators	best inferred	0.60	0.01
9746	CLSTN3	calsyntenin 3	Cadherin related	best inferred	0.71	0.00
8416	ANXA9	annexin A9	Annexins	best inferred	0.64	0.00
9747	TCAF1	TRPM8 channel associated factor 1		best inferred	0.80	0.00
8419	BFSP2	beaded filament structural protein 2	Beaded filament structural proteins	inferred	0.18	0.16
392391	OR5C1	olfactory receptor family 5 subfamily C member 1	Olfactory receptors, family 5	not inferred		
392390	OR1L6	olfactory receptor family 1 subfamily L member 6	Olfactory receptors, family 1	not inferred		
8431	NR0B2	nuclear receptor subfamily 0 group B member 2	Nuclear hormone receptors	best inferred	0.48	0.00
9762	LZTS3	leucine zipper tumor suppressor family member 3	Leucine zipper tumor suppressor family	best inferred	0.81	0.00
7101	NR2E1	nuclear receptor subfamily 2 group E member 1	Nuclear hormone receptors	best inferred	0.40	0.06
9760	TOX	thymocyte selection associated high mobility group box		best inferred	0.68	0.00
7100	TLR5	toll like receptor 5	Toll like receptors	best inferred	0.71	0.00
9761	MLEC	malectin	Oligosaccharyltransferase complex subunits	landmark		
619373	MBOAT4	membrane bound O-acyltransferase domain containing 4	Membrane bound O-acyltransferases	not inferred		
7103	TSPAN8	tetraspanin 8	Tetraspanins	best inferred	0.61	0.00
8435	SOAT2	sterol O-acyltransferase 2		inferred	0.20	0.27
9766	SUSD6	sushi domain containing 6	Sushi domain containing	best inferred	0.84	0.00
644378	GCNT6	glucosaminyl (N-acetyl) transferase 6	Glucosaminyl (N-acetyl) transferases/xylosyltransferases	not inferred		
7102	TSPAN7	tetraspanin 7	X-linked mental retardation, CD molecules, Tetraspanins	best inferred	0.87	0.00
8436	SDPR	serum deprivation response	Cavins	best inferred	0.82	0.00
9767	JADE3	jade family PHD finger 3	PHD finger proteins	best inferred	0.61	0.00
7105	TSPAN6	tetraspanin 6	Tetraspanins	landmark		
8433	UTF1	undifferentiated embryonic cell transcription factor 1		inferred	0.26	0.06
9764	KIAA0513	KIAA0513		best inferred	0.84	0.00
7104	TM4SF4	transmembrane 4 L six family member 4		inferred	0.36	0.01
8434	RECK	reversion inducing cysteine rich protein with kazal motifs		best inferred	0.88	0.00
9765	ZFYVE16	zinc finger FYVE-type containing 16	Zinc fingers FYVE-type, Protein phosphatase 1 regulatory subunits	inferred	0.35	0.05
130	ADH6	alcohol dehydrogenase 6 (class V)	Alcohol dehydrogenases	inferred	0.31	0.10
131	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	Alcohol dehydrogenases	inferred	0.32	0.02
132	ADK	adenosine kinase		best inferred	0.75	0.00
440560	PRAMEF11	PRAME family member 11	PRAME family	inferred	-0.07	0.67
133	ADM	adrenomedullin	Endogenous ligands	best inferred	0.82	0.00
134	ADORA1	adenosine A1 receptor	Adenosine receptors	best inferred	0.51	0.01
135	ADORA2A	adenosine A2a receptor	Adenosine receptors	not inferred		
136	ADORA2B	adenosine A2b receptor	Adenosine receptors	best inferred	0.63	0.00
105372073	LOC105372073	uncharacterized LOC105372073		not inferred		
8428	STK24	serine/threonine kinase 24	STRIPAK complex	best inferred	0.82	0.00
9759	HDAC4	histone deacetylase 4	Histone deacetylases, class IIA	best inferred	0.67	0.00
9757	KMT2B	lysine methyltransferase 2B	PHD finger proteins, Zinc fingers CXXC-type, Lysine methyltransferases, SET domain containing	best inferred	0.84	0.00
150297	C22orf42	chromosome 22 open reading frame 42		not inferred		
8427	ZNF282	zinc finger protein 282	Zinc fingers C2H2-type	best inferred	0.77	0.00
9758	FRMPD4	FERM and PDZ domain containing 4	PDZ domain containing, FERM domain containing	best inferred	0.50	0.03
7110	TMF1	TATA element modulatory factor 1		best inferred	0.77	0.00
8443	GNPAT	glyceronephosphate O-acyltransferase		best inferred	0.80	0.00
9774	BCLAF1	BCL2 associated transcription factor 1		best inferred	0.68	0.00
7112	TMPO	thymopoietin	LEM domain containing	best inferred	0.77	0.00
8440	NCK2	NCK adaptor protein 2	SH2 domain containing	landmark		
9771	RAPGEF5	Rap guanine nucleotide exchange factor 5		best inferred	0.82	0.00
7111	TMOD1	tropomodulin 1	Tropomodulins	best inferred	0.82	0.00
9772	TMEM94	transmembrane protein 94		best inferred	0.75	0.00
7114	TMSB4X	thymosin beta 4, X-linked		not inferred		
8446	DUSP11	dual specificity phosphatase 11	Atypical dual specificity phosphatases	landmark		
9777	TM9SF4	transmembrane 9 superfamily member 4	Transmembrane 9 superfamily members	best inferred	0.67	0.00
7113	TMPRSS2	transmembrane protease, serine 2	Proteases, serine, Scavenger receptor cysteine rich domain containing	best inferred	0.56	0.01
8447	DOC2B	double C2 domain beta	Synaptotagmin like tandem C2 proteins	inferred	0.12	0.19
9778	KIAA0232	KIAA0232		best inferred	0.83	0.00
8444	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3		landmark		
9775	EIF4A3	eukaryotic translation initiation factor 4A3	DEAD-box helicases, Exon junction complex	best inferred	0.82	0.00
8445	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2		best inferred	0.75	0.00
9776	ATG13	autophagy related 13	Autophagy related	best inferred	0.68	0.00
441873	PRAMEF25	PRAME family member 25	PRAME family	not inferred		
140	ADORA3	adenosine A3 receptor	Adenosine receptors, V-set domain containing	best inferred	0.58	0.00
9770	RASSF2	Ras association domain family member 2	Ras association domain family	best inferred	0.89	0.00
141	ADPRH	ADP-ribosylarginine hydrolase		best inferred	0.76	0.00
441871	PRAMEF7	PRAME family member 7	PRAME family	not inferred		
142	PARP1	poly(ADP-ribose) polymerase 1	Zinc fingers, Zinc fingers PARP-type, Poly(ADP-ribose) polymerases	landmark		
143	PARP4	poly(ADP-ribose) polymerase family member 4	Poly(ADP-ribose) polymerases	best inferred	0.86	0.00
105373392	LOC105373392	uncharacterized LOC105373392		not inferred		
162282	ANKFN1	ankyrin repeat and fibronectin type III domain containing 1	Ankyrin repeat domain containing, Fibronectin type III domain containing	not inferred		
146	ADRA1D	adrenoceptor alpha 1D	Adrenoceptors	inferred	0.26	0.11
147	ADRA1B	adrenoceptor alpha 1B	Adrenoceptors	inferred	-0.04	0.53
105373395	LOC105373395	uncharacterized LOC105373395		not inferred		
148	ADRA1A	adrenoceptor alpha 1A	Adrenoceptors	inferred	0.35	0.04
7107	GPR137B	G protein-coupled receptor 137B		best inferred	0.78	0.00
8439	NSMAF	neutral sphingomyelinase activation associated factor	WD repeat domain containing, GRAM domain containing, BEACH domain containing 	best inferred	0.73	0.00
7106	TSPAN4	tetraspanin 4	Tetraspanins	landmark		
7109	TRAPPC10	trafficking protein particle complex 10	Trafficking protein particle complex	best inferred	0.64	0.00
8437	RASAL1	RAS protein activator like 1	Pleckstrin homology domain containing, C2 and RasGAP domain containing	best inferred	0.78	0.00
9768	PCLAF	PCNA clamp associated factor		best inferred	0.65	0.00
7108	TM7SF2	transmembrane 7 superfamily member 2		best inferred	0.85	0.00
8438	RAD54L	RAD54-like (S. cerevisiae)		best inferred	0.55	0.01
8453	CUL2	cullin 2	Cullins	best inferred	0.78	0.00
9784	SNX17	sorting nexin 17	Sorting nexins	best inferred	0.65	0.00
8454	CUL1	cullin 1	Cullins, SCF complex	best inferred	0.74	0.00
9785	DHX38	DEAH-box helicase 38	DEAH-box helicases	best inferred	0.69	0.00
7123	CLEC3B	C-type lectin domain family 3 member B	C-type lectin domain containing	best inferred	0.74	0.00
8451	CUL4A	cullin 4A	Cullins	best inferred	0.74	0.00
9782	MATR3	matrin 3		best inferred	0.88	0.00
7122	CLDN5	claudin 5	Claudins	best inferred	0.77	0.00
8452	CUL3	cullin 3	Cullins	best inferred	0.75	0.00
9783	RIMS3	regulating synaptic membrane exocytosis 3	Regulating synaptic membrane exocytosis family	best inferred	0.72	0.00
7125	TNNC2	troponin C2, fast skeletal type	EF-hand domain containing, Troponin complex subunits	inferred	0.22	0.12
9788	MTSS1	MTSS1, I-BAR domain containing	I-BAR domain containing	best inferred	0.56	0.00
7124	TNF	tumor necrosis factor	Tumor necrosis factor superfamily	best inferred	0.45	0.01
8458	TTF2	transcription termination factor 2	Zinc fingers GRF-type	best inferred	0.74	0.00
9789	SPCS2	signal peptidase complex subunit 2		not inferred		
7127	TNFAIP2	TNF alpha induced protein 2		best inferred	0.79	0.00
8455	ATRN	attractin	C-type lectin domain containing	best inferred	0.67	0.00
9786	KIAA0586	KIAA0586		best inferred	0.71	0.00
7126	TNFAIP1	TNF alpha induced protein 1	BTB domain containing	best inferred	0.70	0.00
8456	FOXN1	forkhead box N1	Forkhead boxes	best inferred	0.46	0.02
9787	DLGAP5	DLG associated protein 5		best inferred	0.78	0.00
221002	RASGEF1A	RasGEF domain family member 1A		not inferred		
150	ADRA2A	adrenoceptor alpha 2A	Adrenoceptors	best inferred	0.60	0.00
9780	PIEZO1	piezo type mechanosensitive ion channel component 1		best inferred	0.73	0.00
151	ADRA2B	adrenoceptor alpha 2B	Adrenoceptors	inferred	-0.04	0.53
8450	CUL4B	cullin 4B	Cullins	best inferred	0.76	0.00
9781	RNF144A	ring finger protein 144A	Ring finger proteins, RBR E3 ubiquitin ligases	best inferred	0.75	0.00
152	ADRA2C	adrenoceptor alpha 2C	Adrenoceptors	best inferred	0.40	0.01
153	ADRB1	adrenoceptor beta 1	Adrenoceptors	best inferred	0.42	0.00
154	ADRB2	adrenoceptor beta 2	Adrenoceptors	landmark		
155	ADRB3	adrenoceptor beta 3	Adrenoceptors	inferred	0.24	0.11
156	GRK2	G protein-coupled receptor kinase 2	Pleckstrin homology domain containing	best inferred	0.74	0.00
157	GRK3	G protein-coupled receptor kinase 3	Pleckstrin homology domain containing	best inferred	0.69	0.00
158	ADSL	adenylosuccinate lyase		best inferred	0.85	0.00
159	ADSS	adenylosuccinate synthase		best inferred	0.64	0.00
8448	DOC2A	double C2 domain alpha	Synaptotagmin like tandem C2 proteins	best inferred	0.58	0.00
9779	TBC1D5	TBC1 domain family member 5		best inferred	0.76	0.00
8449	DHX16	DEAH-box helicase 16	DEAH-box helicases	best inferred	0.74	0.00
7132	TNFRSF1A	TNF receptor superfamily member 1A	CD molecules, Tumor necrosis factor receptor superfamily	best inferred	0.88	0.00
8464	SUPT3H	SPT3 homolog, SAGA and STAGA complex component	SAGA complex	best inferred	0.59	0.00
9796	PHYHIP	phytanoyl-CoA 2-hydroxylase interacting protein		best inferred	0.73	0.00
7134	TNNC1	troponin C1, slow skeletal and cardiac type	EF-hand domain containing, Troponin complex subunits	best inferred	0.46	0.01
8462	KLF11	Kruppel like factor 11	Zinc fingers C2H2-type, Kruppel like factors	best inferred	0.78	0.00
9793	CKAP5	cytoskeleton associated protein 5		best inferred	0.90	0.00
7133	TNFRSF1B	TNF receptor superfamily member 1B	CD molecules, Tumor necrosis factor receptor superfamily	best inferred	0.87	0.00
8463	TEAD2	TEA domain transcription factor 2	TEA domain transcription factors	not inferred		
9794	MAML1	mastermind like transcriptional coactivator 1		best inferred	0.69	0.00
7136	TNNI2	troponin I2, fast skeletal type	Troponin complex subunits	best inferred	0.52	0.01
8468	FKBP6	FK506 binding protein 6	FKBP prolyl isomerases	inferred	0.34	0.03
7135	TNNI1	troponin I1, slow skeletal type	Troponin complex subunits	inferred	0.19	0.17
7138	TNNT1	troponin T1, slow skeletal type	Troponin complex subunits	best inferred	0.60	0.00
9797	TATDN2	TatD DNase domain containing 2		landmark		
7137	TNNI3	troponin I3, cardiac type	Troponin complex subunits	best inferred	0.43	0.01
8467	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	Myb/SANT domain containing	best inferred	0.79	0.00
9798	IST1	IST1, ESCRT-III associated factor	ESCRT-III associated factors	best inferred	0.75	0.00
342184	FMN1	formin 1		not inferred		
160	AP2A1	adaptor related protein complex 2 alpha 1 subunit		not inferred		
161	AP2A2	adaptor related protein complex 2 alpha 2 subunit		best inferred	0.74	0.00
8460	TPST1	tyrosylprotein sulfotransferase 1	Sulfotransferases, membrane bound	best inferred	0.56	0.00
9791	PTDSS1	phosphatidylserine synthase 1		best inferred	0.72	0.00
162	AP1B1	adaptor related protein complex 1 beta 1 subunit		best inferred	0.84	0.00
9792	SERTAD2	SERTA domain containing 2		best inferred	0.88	0.00
163	AP2B1	adaptor related protein complex 2 beta 1 subunit		best inferred	0.50	0.02
7130	TNFAIP6	TNF alpha induced protein 6		best inferred	0.74	0.00
246318	FLJ13773	uncharacterized LOC246318		not inferred		
164	AP1G1	adaptor related protein complex 1 gamma 1 subunit		best inferred	0.64	0.00
9790	BMS1	BMS1, ribosome biogenesis factor		best inferred	0.71	0.00
165	AEBP1	AE binding protein 1		best inferred	0.93	0.00
166	AES	amino-terminal enhancer of split		best inferred	0.77	0.00
167	CRISP1	cysteine rich secretory protein 1		inferred	0.27	0.07
150248	C22orf15	chromosome 22 open reading frame 15		not inferred		
150244	ZDHHC8P1	zinc finger DHHC-type containing 8 pseudogene 1		best inferred	0.69	0.00
7128	TNFAIP3	TNF alpha induced protein 3	OTU domain containing	best inferred	0.89	0.00
8459	TPST2	tyrosylprotein sulfotransferase 2	Sulfotransferases, membrane bound	best inferred	0.75	0.00
7143	TNR	tenascin R	Fibrinogen C domain containing, Fibronectin type III domain containing	inferred	0.10	0.30
7142	TNP2	transition protein 2		inferred	0.19	0.18
8476	CDC42BPA	CDC42 binding protein kinase alpha		best inferred	0.80	0.00
392392	OR1K1	olfactory receptor family 1 subfamily K member 1	Olfactory receptors, family 1	not inferred		
7145	TNS1	tensin 1	Protein phosphatase 1 regulatory subunits, SH2 domain containing, C2 tensin-type domain containing, PTEN protein phosphatases	best inferred	0.95	0.00
8473	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase	O-linked N-acetylglucosaminyltransferases, Tetratricopeptide repeat domain containing	best inferred	0.85	0.00
8479	HIRIP3	HIRA interacting protein 3		best inferred	0.70	0.00
8477	GPR65	G protein-coupled receptor 65	G protein-coupled receptors, Class A orphans	best inferred	0.72	0.00
392399	LCN9	lipocalin 9	Lipocalins	not inferred		
440515	ZNF506	zinc finger protein 506	Zinc fingers C2H2-type	best inferred	0.70	0.00
7148	TNXB	tenascin XB	Fibrinogen C domain containing, Fibronectin type III domain containing	best inferred	0.85	0.00
8471	IRS4	insulin receptor substrate 4		not inferred		
173	AFM	afamin		inferred	0.32	0.03
174	AFP	alpha fetoprotein		inferred	-0.04	0.59
7141	TNP1	transition protein 1		inferred	0.08	0.28
175	AGA	aspartylglucosaminidase		best inferred	0.66	0.00
7140	TNNT3	troponin T3, fast skeletal type	Troponin complex subunits	best inferred	0.57	0.00
8470	SORBS2	sorbin and SH3 domain containing 2		best inferred	0.87	0.00
176	ACAN	aggrecan	Hyalectan proteoglycans, V-set domain containing, Sushi domain containing, C-type lectin domain containing	best inferred	0.46	0.00
177	AGER	advanced glycosylation end-product specific receptor	C2-set domain containing, Immunoglobulin like domain containing, Scavenger receptors	best inferred	0.55	0.00
178	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase		landmark		
414236	C10orf55	chromosome 10 open reading frame 55		not inferred		
7139	TNNT2	troponin T2, cardiac type	Troponin complex subunits	best inferred	0.39	0.01
7153	TOP2A	topoisomerase (DNA) II alpha	Topoisomerases	landmark		
8487	GEMIN2	gem nuclear organelle associated protein 2	Gemins	best inferred	0.71	0.00
149281	METTL11B	methyltransferase like 11B	Methyltransferase like	not inferred		
7156	TOP3A	topoisomerase (DNA) III alpha	Zinc fingers GRF-type, Topoisomerases	best inferred	0.67	0.00
8484	GALR3	galanin receptor 3	Galanin receptors	inferred	-0.13	0.70
7155	TOP2B	topoisomerase (DNA) II beta	Topoisomerases	best inferred	0.65	0.00
7158	TP53BP1	tumor protein p53 binding protein 1	Tudor domain containing	landmark		
7157	TP53	tumor protein p53		landmark		
162239	ZFP1	ZFP1 zinc finger protein	Zinc fingers C2H2-type	not inferred		
7159	TP53BP2	tumor protein p53 binding protein 2	Ankyrin repeat domain containing, Protein phosphatase 1 regulatory subunits	landmark		
440503	PLIN5	perilipin 5	Perilipins	not inferred		
181	AGRP	agouti related neuropeptide	Endogenous ligands	inferred	0.06	0.39
182	JAG1	jagged 1	CD molecules	best inferred	0.90	0.00
183	AGT	angiotensinogen	Endogenous ligands, Serpin peptidase inhibitors	best inferred	0.79	0.00
7150	TOP1	topoisomerase (DNA) I	Topoisomerases	best inferred	0.82	0.00
8482	SEMA7A	semaphorin 7A (John Milton Hagen blood group)	Blood group antigens, CD molecules, Immunoglobulin like domain containing, Semaphorins	inferred	0.19	0.21
8483	CILP	cartilage intermediate layer protein	Immunoglobulin like domain containing	best inferred	0.72	0.00
185	AGTR1	angiotensin II receptor type 1	Angiotensin receptors	best inferred	0.82	0.00
8480	RAE1	ribonucleic acid export 1	WD repeat domain containing, Nucleoporins	landmark		
186	AGTR2	angiotensin II receptor type 2	X-linked mental retardation, Angiotensin receptors	inferred	0.30	0.03
8481	OFD1	OFD1, centriole and centriolar satellite protein		best inferred	0.78	0.00
187	APLNR	apelin receptor	Peptide receptors	best inferred	0.57	0.00
189	AGXT	alanine-glyoxylate aminotransferase		inferred	0.36	0.01
7165	TPD52L2	tumor protein D52 like 2		landmark		
8497	PPFIA4	PTPRF interacting protein alpha 4	Sterile alpha motif domain containing	best inferred	0.74	0.00
92344	GORAB	golgin, RAB6 interacting		not inferred		
7164	TPD52L1	tumor protein D52-like 1		best inferred	0.80	0.00
8498	RANBP3	RAN binding protein 3		best inferred	0.71	0.00
92345	NAF1	nuclear assembly factor 1 ribonucleoprotein		not inferred		
7167	TPI1	triosephosphate isomerase 1		best inferred	0.81	0.00
8495	PPFIBP2	PPFIA binding protein 2	Sterile alpha motif domain containing	best inferred	0.67	0.00
92342	METTL18	methyltransferase like 18	Methyltransferase like	best inferred	0.58	0.00
7166	TPH1	tryptophan hydroxylase 1		inferred	0.18	0.19
8496	PPFIBP1	PPFIA binding protein 1	Sterile alpha motif domain containing	best inferred	0.71	0.00
91012	CERS5	ceramide synthase 5	CERS class homeoboxes	not inferred		
7169	TPM2	tropomyosin 2 (beta)	Tropomyosins	best inferred	0.95	0.00
7168	TPM1	tropomyosin 1 (alpha)	Tropomyosins	landmark		
8499	PPFIA2	PTPRF interacting protein alpha 2	Sterile alpha motif domain containing	best inferred	0.57	0.02
92346	C1orf105	chromosome 1 open reading frame 105		inferred	0.29	0.05
190	NR0B1	nuclear receptor subfamily 0 group B member 1	Nuclear hormone receptors	inferred	0.20	0.12
191	AHCY	adenosylhomocysteinase		best inferred	0.72	0.00
8490	RGS5	regulator of G-protein signaling 5	Regulators of G-protein signaling	best inferred	0.83	0.00
285955	SPDYE1	speedy/RINGO cell cycle regulator family member E1	Speedy/RINGO cell cycle regulator family	not inferred		
107984096	LOC107984096	translation initiation factor IF-2-like		not inferred		
79370	BCL2L14	BCL2 like 14	BCL2 family	best inferred	0.47	0.01
107984097	LOC107984097	uncharacterized protein FLJ40521		not inferred		
7161	TP73	tumor protein p73		best inferred	0.55	0.00
8493	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D	Protein phosphatases, Mg2+/Mn2+ dependent	best inferred	0.85	0.00
92340	PRR29	proline rich 29		not inferred		
285957	LOC285957	uncharacterized LOC285957		not inferred		
91010	FMNL3	formin like 3		not inferred		
196	AHR	aryl hydrocarbon receptor	Basic helix-loop-helix proteins	best inferred	0.80	0.00
7163	TPD52	tumor protein D52		best inferred	0.88	0.00
8491	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3	Mitogen-activated protein kinase kinase kinase kinases	best inferred	0.71	0.00
197	AHSG	alpha 2-HS glycoprotein	Cystatins, type 4	inferred	0.15	0.12
7162	TPBG	trophoblast glycoprotein		best inferred	0.79	0.00
8492	PRSS12	protease, serine 12	Proteases, serine, Scavenger receptor cysteine rich domain containing	best inferred	0.60	0.00
729767	CEACAM18	carcinoembryonic antigen related cell adhesion molecule 18	V-set domain containing, Immunoglobulin like domain containing, Carcinoembryonic antigen related cell adhesion molecule family	not inferred		
199	AIF1	allograft inflammatory factor 1	EF-hand domain containing	best inferred	0.88	0.00
284615	ANKRD34A	ankyrin repeat domain 34A	Ankyrin repeat domain containing	not inferred		
107984094	LOC107984094	rootletin-like		not inferred		
284613	CYB561D1	cytochrome b561 family member D1	Cytochrome b561	not inferred		
81696	OR5V1	olfactory receptor family 5 subfamily V member 1	Olfactory receptors, family 5	not inferred		
284612	SYPL2	synaptophysin like 2		not inferred		
81697	OR2B2	olfactory receptor family 2 subfamily B member 2	Olfactory receptors, family 2	inferred	0.32	0.08
284611	FAM102B	family with sequence similarity 102 member B		not inferred		
81691	LOC81691	exonuclease NEF-sp		best inferred	0.46	0.00
81693	AMN	amnion associated transmembrane protein		inferred	0.19	0.23
7175	TPR	translocated promoter region, nuclear basket protein	Nucleoporins	best inferred	0.79	0.00
93664	CADPS2	calcium dependent secretion activator 2	Pleckstrin homology domain containing, C2 domain containing	best inferred	0.74	0.00
7178	TPT1	tumor protein, translationally-controlled 1		best inferred	0.55	0.00
93663	ARHGAP18	Rho GTPase activating protein 18	Rho GTPase activating proteins	not inferred		
7177	TPSAB1	tryptase alpha/beta 1		best inferred	0.86	0.00
7179	TPTE	transmembrane phosphatase with tensin homology	C2 tensin-type domain containing, PTEN protein phosphatases	inferred	0.19	0.12
92335	STRADA	STE20-related kinase adaptor alpha		best inferred	0.63	0.00
343472	BARHL2	BarH like homeobox 2	NKL subclass homeoboxes and pseudogenes	not inferred		
221035	REEP3	receptor accessory protein 3	Receptor accessory proteins	not inferred		
729759	OR4F29	olfactory receptor family 4 subfamily F member 29	Olfactory receptors, family 4	not inferred		
